Country,Year Enacted,Scope,Length (in Words),Executive Power,Legislative Power,Judicial Independence,Number of Rights,Preamble,nivel_poder_ejecutivo
Bahrain,2002,0.57,"10,806",7,0.33,2,48,in the name of god the merciful the compassionate constitution of the kingdom of bahrain foreword to the constitution in the name of god on high and with his blessing and with his help we hamad bin isa al khalifa sovereign of the kingdom of bahrain in line with our determination certainty faith and awareness of our national panarab and international responsibilities and in acknowledgment of our obligations to god our obligations to the homeland and the citizens and our commitment to fundamental principles and our responsibility to mankind and in implementation of the popular will expressed in the principles enshrined in the national action charter pursuant to the authority entrusted to us by our great people to amend the constitution out of our desire to complete the requirements of the democratic system of government for our beloved nation striving for a better future in which the homeland and the citizen will enjoy greater welfare progress development stability and prosperity through earnest and constructive cooperation between government and citizens which will remove the obstacles to progress and out of a conviction that the future and working for the future is what all of us seek in the coming state and in view of our belief that such an objective requires the exertion of efforts and in order to complete the march we have amended the existing constitution this amendment has taken account of all the lofty values and the great human principles enshrined in the national action charter these values and principles confirm that the people of bahrain surge ahead in their triumphant march towards a bright future god willing a future in which the efforts of all parties and individuals unite and the authorities in their new garb devote themselves to achieve the hopes and aspirations under his tolerant rule declaring their adherence to islam as a faith a code of laws and a way of life with their affiliation to the great arab nation and their association with the gulf cooperation council now and in the future and their striving for everything that will achieve justice good and peace for the whole of mankind the amendments to the constitution proceed from the premise that the noble people of bahrain believe that islam brings salvation in this world and the next and that islam means neither inertness nor fanaticism but explicitly states that wisdom is the goal of the believer wherever he finds it he should take it and that the quran has been remiss in nothing in order to achieve this goal it is essential that we listen and look to the whole of the human heritage in both east and west adopting that which we consider to be beneficial and suitable and consistent with our religion values and traditions and is appropriate to our circumstances in the conviction that social and human systems are not inflexible tools and instruments which can be moved unchanged from place to place but are messages conveyed to the mind spirit and conscience of man and are influenced by his reactions and their circumstances of his society thus these constitutional amendments are representative of the advanced cultural thought of our beloved nation they base our political system on a constitutional monarchy founded on counsel shura which in islam is the highest model for governance and on the peoples participation in the exercise of power which is the foundation of modern political thought the ruler with his perspicacity chooses certain experienced people to constitute the consultative council majlis alshura and the aware free and loyal people choose through elections those who make up the chamber of deputies majlis alnuwwab and thus the two chambers together achieve the popular will represented by the national assembly almajlis alwatani these constitutional amendments undoubtedly reflect the joint will of the king and the people and achieve for everyone the lofty ideals and the great humanitarian principles contained in the national action charter and ensure that the people will advance to the high position for which their ability and preparedness qualify them and which accords with the greatness of their history and allows them to occupy their appropriate place among the civilized nations of the world this constitution that we have promulgated contains the amendments that have carried out in accordance with the provisions of the national action charter and that complement all the unamended texts we have attached an explanation memorandum which will be used to explain its judgement,1
Bangladesh,1986,0.63,"27,643",4,0.33,5,49,we the people of bangladesh having proclaimed our independence on the th day of march and through a historic struggle for national liberation established the independent sovereign peoples republic of bangladesh pledging that the high ideals of nationalism socialism democracy and secularism which inspired our heroic people to dedicate themselves to and our brave martyrs to sacrifice their lives in the national liberation struggle shall be the fundamental principles of the constitution further pledging that it shall be a fundamental aim of the state to realise through the democratic process to socialist society free from exploitationa society in which the rule of law fundamental human rights and freedom equality and justice political economic and social will be secured for all citizens affirming that it is our sacred duty to safeguard protect and defend this constitution and to maintain its supremacy as the embodiment of the will of the people of bangladesh so that we may prosper in freedom and may make our full contribution towards international peace and cooperation in keeping with the progressive aspirations of mankind in our constituent assembly this eighteenth day of kartick bs corresponding to the fourth day of november ad do hereby adopt enact and give to ourselves this constitution,0
Barbados,1966,0.4,"34,144",3,0.19,3,40,whereas the love of free institutions and of independence has always strongly characterised the inhabitants of barbados and whereas the governor and the said inhabitants settled a parliament in the year and whereas as early as th february those inhabitants in their determination to safeguard the freedom safety and wellbeing of the island declared through their governor lords of the council and members of the assembly their independence of the commonwealth of england and whereas the rights and privileges of the said inhabitants were confirmed by articles of agreement commonly known as the charter of barbados had made and concluded on th january by and between the commissioners of the right honourable the lord willoughby of parham governor of the one part and the commissioners on behalf of the commonwealth of england of the other part in order to the rendition to the commonwealth of england of the said island of barbados and whereas with the broadening down of freedom the people of barbados have ever since then not only successfully resisted any attempt to impugn or diminish those rights and privileges so confirmed but have consistently enlarged and extended them now therefore the people of barbadosproclaim that they are a sovereign nation founded upon principles that acknowledge the supremacy of god the dignity of the human person their unshakeable faith in fundamental human rights and freedoms and the position of the family in a society of free men and free institutions affirm their belief that men and institutions remain free only when freedom is founded upon respect for moral and spiritual values and the rule of law declare their intention to establish and maintain a society in which all persons may to the full extent of their capacity play a due part in the institutions of the national life resolve that the operation of the economic system shall promote the general welfare by the equitable distribution of the material resources of the community by the human conditions under which all men shall labour and by the undeviating recognition of ability integrity and merit desire that the following provisions shall have effect as the constitution of barbados,0
Belarus,1994,0.61,"13,278",7,0.33,2,62,we the people of the republic of belarus of belarus proceeding from the responsibility for the present and future of belarus recognising ourselves as a fullfledged subject of the international community and confirming our adherence to values common to all mankind founding ourselves on our inalienable right to selfdetermination supported by the centurieslong history of development of belarusian statehood striving to assert the rights and freedoms of every citizen of the republic of belarus desiring to maintain civic concord firm foundations of government by the people and a state based on the rule of law adopt hereby this constitution the fundamental law of the republic of belarus,1
Belgium,1831,0.59,"16,119",4,0.38,3,35,in the name of the belgian people the national congress decrees,0
Belize,1981,0.47,"39,629",3,0.24,4,46,whereas the people of belizeaffirm that the nation of belize shall be founded upon principles which acknowledge the supremacy of god faith in human rights and fundamental freedoms the position of the family in a society of free men and free institutions the dignity of the human person and the equal and inalienable rights with which all members of the human family are endowed by their creator respect the principles of social justice and therefore believe that the operation of the economic system must result in the material resources of the community being so distributed as to subserve the common good that there should be adequate means of livelihood for all that labour should not be exploited or forced by economic necessity to operate in inhumane conditions but that there should be opportunity for advancement on the basis of recognition of merit ability and integrity that equal protection should be given to children regardless of their social status and that a just system should be ensured to provide for education and health on the basis of equality believe that the will of the people shall form the basis of government in a democratic society in which the government is freely elected by universal adult suffrage and in which all persons may to the extent of their capacity play some part in the institutions of national life and thus develop and maintain due respect for lawfully constituted authority recognise that men and institutions remain free only when freedom is founded upon respect for moral and spiritual values and upon the rule of law require policies of state which protect and safeguard the unity freedom sovereignty and territorial integrity of belize which eliminate economic and social privilege and disparity among the citizens of belize whether by race ethnicity colour creed disability or sex which ensures gender equality which protect the rights of the individual to life liberty basic education basic health the right to vote in elections the right to work and the pursuit of happiness which protect the identity dignity and social and cultural values of belizeans including belizes indigenous peoples which preserve the right of the individual to the ownership of private property and the right to operate private businesses which prohibit the exploitation of man by man or by the state which ensure a just system of social security and welfare which protect the environment which promote international peace security and cooperation among nations the establishment of a just and equitable international economic and social order in the world with respect for international law and treaty obligations in the dealings among nationsfn of of of desire that their society shall reflect and enjoy the above mentioned principles beliefs and needs and that their constitution should therefore enshrine and make provisions for ensuring the achievement of the same in belize now therefore the following provisions shall have effect as the constitution of belize,0
Benin,1990,0.56,"11,386",4,0.29,1,43,dahomey proclaimed a republic on december acceded to international sovereignty august having become the peoples republic of bénin on november and then the republic of bénin on march it has known a turbulent constitutional and political evolution since its accession to independence only the option in favor of the republic has remained permanent the successive changes of political regimes and of governments have not blunted the determination of the béninese people to search for in their own spirit the cultural philosophical and spiritual values of civilization which sustain the forms of their patriotism thus the national conference of active forces of the nation held in cotonou from february to in giving back confidence to the people has permitted the national reconciliation and the advent of an era of democratic revival on the day after this conference we the béninese peoplereaffirm our fundamental opposition to any political regime founded on arbitrariness dictatorship injustice corruption misappropriation of public funds regionalism nepotism confiscation of power and personal powerexpress our firm will to defend and safeguard our dignity in the eyes of the world and to find again the place and role as pioneer of democracy and of the defense of human rights which were formerly ours solemnly affirm our determination by this present constitution to create a state of law and pluralistic democracy in which the fundamental human rights public liberties the dignity of the human being and justice shall be guaranteed protected and promoted as the condition necessary for the genuine harmonious development of each béninese in his temporal and cultural dimension as well as in his spiritual reaffirm our attachment to the principles of democracy and human rights as they have been defined by the charter of the united nations of and the universal declaration of human rights of by the african charter on human and peoples rights adopted in by the organization of african unity and ratified by bénin on january and whose provisions make up an integral part of this present constitution and of béninese law and have a value superior to the internal law affirm our will to cooperate in peace and friendship with all peoples who share our ideals of liberty of justice of human solidarity based on the principles of equality of reciprocal interest and of mutual respect for national sovereignty and for territorial integrity proclaim our attachment to the cause of african unity and pledge ourselves to leave no stone unturned in order to realize local and regional integration solemnly adopt the present constitution which shall be the supreme law of the state and to which we swear loyalty fidelity and respect,0
Bhutan,2008,0.64,"13,632",4,0.29,5,44,we the people of bhutan blessed by the triple gem the protection of our guardian deities the wisdom of our leaders the everlasting fortunes of the pelden drukpa and the guidance of his majesty the druk gyalpo jigme khesar namgyel wangchuck solemnly pledging ourselves to strengthen the sovereignty of bhutan to secure the blessings of liberty to ensure justice and tranquility and to enhance the unity happiness and wellbeing of the people for all time do hereby ordain and adopt this constitution for the kingdom of bhutan on the fifteenth day of the fifth month of the male earth rat year corresponding to the eighteenth day of july two thousand and eight,0
Bolivia,2009,0.74,"39,375",5,0.33,4,88,in ancient times mountains arose rivers moved and lakes were formed our amazonia our swamps our highlands and our plains and valleys were covered with greenery and flowers we populated this sacred mother earth with different faces and since that time we have understood the plurality that exists in all things and in our diversity as human beings and cultures thus our peoples were formed and we never knew racism until we were subjected to it during the terrible times of colonialism we the bolivian people of plural composition from the depths of history inspired by the struggles of the past by the anticolonial indigenous uprising and in independence by the popular struggles of liberation by the indigenous social and labor marches by the water and october wars by the struggles for land and territory construct a new state in memory of our martyrs a state based on respect and equality for all on principles of sovereignty dignity interdependence solidarity harmony and equity in the distribution and redistribution of the social wealth where the search for a good life predominates based on respect for the economic social juridical political and cultural pluralism of the inhabitants of this land and on collective coexistence with access to water work education health and housing for all we have left the colonial republican and neoliberal state in the past we take on the historic challenge of collectively constructing a unified social state of plurinational communitarian law which includes and articulates the goal of advancing toward a democratic productive peaceloving and peaceful bolivia committed to the full development and free determination of the peoples we women and men through the constituent assembly asamblea constituyente and with power originating from the people demonstrate our commitment to the unity and integrity of the country we found bolivia anew fulfilling the mandate of our people with the strength of our pachamama and with gratefulness to god honor and glory to the martyrs of the heroic constituent and liberating effort who have made this new history possible,1
Bosnia and Herzegovina,1995,0.41,"5,454",2,0.24,0,28,based on respect for human dignity liberty and equality dedicated to peace justice tolerance and reconciliation convinced that democratic governmental institutions and fair procedures best produce peaceful relations within a pluralist society desiring to promote the general welfare and economic growth through the protection of private property and the promotion of a market economy guided by the purposes and principles of the charter of the united nations committed to the sovereignty territorial integrity and political independence of bosnia and herzegovina in accordance with international law determined to ensure full respect for international humanitarian law inspired by the universal declaration of human rights the international covenants on civil and political rights and on economic social and cultural rights and the declaration on the rights of persons belonging to national or ethnic religious and linguistic minorities as well as other human rights instruments recalling the basic principles agreed in geneva on september and in new york on september bosniacs croats and serbs as constituent peoples along with others and citizens of bosnia and herzegovina hereby determine that the constitution of bosnia and herzegovina is as follows,0
Brazil,1988,0.7,"64,488",5,0.48,5,79,we the representatives of the brazilian people convened the national constituent assembly to institute a democratic state destined to ensure the exercise of social and individual rights liberty security wellbeing development equality and justice as supreme values of a fraternal pluralist and unprejudiced society founded on social harmony and committed in the domestic and international orders to the peaceful solution of disputes promulgate under the protection of god the following constitution of the federative republic of brazil,1
Brunei,1959,0.33,"13,869",7,0.0,0,2,in the name of god the compassionate the merciful praise be to god the lord of the universe and may the benediction and peace of god be upon our leader muhammad and upon all his relations and friends by the grace of god omar ali saifuddin saadul khairi waddin ibni almarhum mohamed jamalul alam of negara brunei darussalam and all its dependencies sultan and yang dipertuan sovereign and chief of the most esteemed family order sovereign and chief of the most honourable order of the crown of brunei darussalam order of sri mahkota negara most esteemed family order first class kelantan honorary kneight commander of the most distinguished order of saint michael and saint george recitals cons ii whereas provision is being made in a separate proclamation in this constitution referred to as quotthe succession and regency proclamationquot for certain matters affecting his majesty the sultan and yang dipertuan the succession to the sultanate and his majesty the sultan and yang dipertuans family whereas we intend to govern in accordance with the provisions of this constitution and the laws of brunei darussalam and by progressive steps hereafter to introduce further representative institutions into the government of brunei darussalam and whereas we have with the advice and consent of our traditional advisers decided to make such provisions for the regulation of the government of brunei darussalam as is hereinafter contained now therefore we by the rights and powers of our prerogatives as sultan of brunei darussalam and all its dependencies do hereby proclaim in our name and on our behalf and for and on behalf of our successors as hereinafter follows,1
Bulgaria,1991,0.7,"13,641",6,0.52,6,70,we the members of the seventh grand national assembly guided by our desire to express the will of the people of bulgaria by pledging our loyalty to the universal human values of liberty peace humanism equality justice and tolerance by holding as the highest principle the rights dignity and security of the individual in awareness of our irrevocable duty to guard the national and state integrity of bulgaria hereby proclaim our resolve to create a democratic and social state governed by the rule of law by establishing this constitution,1
Burkina Faso,1991,0.59,"10,030",7,0.29,3,54,we the sovereign people of burkina fasoconscious of our responsibilities and of our duties before history and before humanitystrengthened by the democracies we have acquired committed to preserve those acquired and animated by a will to construct a state of law guaranteeing the exercise of collective and individual rights liberty dignity security wellbeing development equality and justice as the fundamental values of a pluralist society of progress and free from all prejudice reaffirming our commitment to the struggle against any form of domination as well as to the democratic character of power determined to promote integrity probity transparence impartiality and the obligation to render account as the republican and ethical values proper to moralize the life of the nation recognizing the customary and traditional leadership as a moral authority depository of the customs and of the traditions in our society recognizing that the promotion of gender is a factor for realization of the equality of law between men and women of burkina faso searching for the economic and political integration with the other peoples of africa with a view to the construction of a federative unity of africa subscribing to the universal declaration of the rights of man of and to the international instruments concerning economic political social and cultural problems reaffirming solemnly our commitment visavis the african charter of the rights of man and of peoples of desirous to promote peace international cooperation the peaceful resolution of differences between states with justice equality liberty and the sovereignty of peoples conscious of the absolute necessity to protect the environment approve and adopt this constitution of which this is made an integral part,1
